,puesto,posted_date,company,location,employment_type,href
0,Senior Software Engineer,10 days ago,Robert Half,"Remote or Boston, MA, USA",Full-time,https://www.dice.com/job-detail/105d7c90-5c31-4247-aa84-f3fa0990690f?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
1,Sr. AI Engineer,24 days ago,ApTask,Remote,"Contract, Third Party",https://www.dice.com/job-detail/794dc3eb-6dc8-4293-be60-b30268c47925?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
2,Network Engineer,29 days ago,Aditi Consulting,Remote,Contract,https://www.dice.com/job-detail/847a85bd-2483-4b79-a900-177cb8a66fa8?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
3,Microsoft Dynamics CRM Developer,8 days ago,Maven Companies,Remote,Full-time,https://www.dice.com/job-detail/16fc7e2a-39ad-4b5b-a60c-7ea8bfde367f?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
4,OpenAI Azure Cognitive Services Consultant (FULLY REMOTE),9 days ago,MindWave Solutions,Remote,Contract,https://www.dice.com/job-detail/7c1575be-dfa0-43f2-b7e1-01088aa0690b?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
5,REMOTE ROLE: Databricks/Data Engineer/Architect-REMOTE (EST),16 days ago,Satsyil Corporation,Remote,Full-time,https://www.dice.com/job-detail/ca63cc3e-aca9-467b-a6ef-e172eb1b4735?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
6,Python Software Developer Lead,21 hours ago,SAIC,Remote,Full-time,https://www.dice.com/job-detail/4759235a-c890-4d98-9b27-b1f78931698f?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
7,Python Software Developer Lead,21 hours ago,SAIC,Remote,Full-time,https://www.dice.com/job-detail/804ea0b4-d627-435a-afd3-1ed1a26d8c81?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
8,Python Software Developer Lead,21 hours ago,SAIC,Remote,Full-time,https://www.dice.com/job-detail/413a6541-08f6-4ec8-9073-4eac0ec3a14b?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
9,Production Support,16 days ago,"Hexaware Technologies, Inc",Remote,Full-time,https://www.dice.com/job-detail/ade99e57-f4b9-4b44-aa09-5035edacc99e?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
10,Full Stack Developer,31 days ago,Gridiron IT Solutions,Remote,Contract,https://www.dice.com/job-detail/1288aac2-7d2f-456f-bd83-cdafde53fcf7?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
11,REMOTE Full-Stack Python Developer - Digital Banking,26 days ago,Vaco Technology,Remote,Contract,https://www.dice.com/job-detail/32e7ab2e-4a2a-4c1f-a8da-0944789bbaf4?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
12,Senior Data Engineer,1 day ago,RIIM,Remote,Contract,https://www.dice.com/job-detail/3d3b9c46-042a-4bf0-b90b-b452b7b9a38b?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
13,Data Engineer,18 days ago,Centaurus Technology Partners,Remote,Full-time,https://www.dice.com/job-detail/e714531c-3358-489b-a7bd-ee229691587f?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
14,Data Engineer,4 days ago,Techmatic Inc,Remote,"Contract, Third Party",https://www.dice.com/job-detail/09a9ce85-194e-4694-bfda-4b1f5a312bde?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
15,Sr.DevOps Engineer,17 days ago,MHK TECH INC,"Remote or Houston, TX, USA",Full-time,https://www.dice.com/job-detail/de2c0da8-1ae1-472e-b957-db05c908f1cc?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
16,Software Development Engineer-Backend (Java),1 day ago,Scigon Solutions,Remote,"Full-time, Contract, Third Party",https://www.dice.com/job-detail/2f7b6ef3-a38a-4472-a020-f6a5ff55fcc5?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
17,DevSecOps Engineer,26 days ago,Amiseq Inc.,Remote,Contract,https://www.dice.com/job-detail/364cd90f-ee12-4b77-a97e-0952f9cf3e7a?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
18,Senior Java Engineer (REMOTE),60+ days ago,GEICO,Remote,Full-time,https://www.dice.com/job-detail/29e3607d-a412-4f47-80a9-c826e90081e0?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
19,Netsuite Administrator,24 days ago,"24 Seven, Inc.",Remote,Full-time,https://www.dice.com/job-detail/4ef1e3d1-2187-4b1d-ace3-510d32255e9b?searchlink=search%2F%3Fq%3Dpython%2C%2520Data%2520scientist%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D19%26pageSize%3D20%26filters.isRemote%3Dtrue%26language%3Den%26eid%3DS2Q_&searchId=0b53f6a9-3ce3-4369-a201-01c28589b316
